customer_id,lat,long,state,cluster,customer_category,geometry,nearest_coastline,distance_to_coastline
1,-33.894912,151.206211,NSW,2,Gold,POINT (151.206211 -33.894912),POINT (143.87669372558594 -9.145400047302246),25.812015910669647
2,-33.731651,150.955942,NSW,3,Bronze,POINT (150.955942 -33.731651),POINT (143.87669372558594 -9.145400047302246),25.58514201719087
4,-28.035453,153.241258,QLD,3,Bronze,POINT (153.241258 -28.035453),POINT (143.87669372558594 -9.145400047302246),21.08386028708588
5,-30.604667,152.956681,NSW,1,Silver,POINT (152.956681 -30.604667),POINT (143.87669372558594 -9.145400047302246),23.3012082744794
6,-38.215906,144.334005,VIC,1,Silver,POINT (144.334005 -38.215906),POINT (143.8740997314453 -9.145500183105469),29.07404353052701
7,-33.957725,151.052257,NSW,3,Bronze,POINT (151.052257 -33.957725),POINT (143.87669372558594 -9.145400047302246),25.829056851991087
8,-35.07459,147.376202,NSW,2,Gold,POINT (147.376202 -35.07459),POINT (143.87669372558594 -9.145400047302246),26.164278124300978
9,-33.884685,151.25591,NSW,1,Silver,POINT (151.25591 -33.884685),POINT (143.87669372558594 -9.145400047302246),25.816371797666587
11,-37.731138,144.936356,VIC,1,Silver,POINT (144.936356 -37.731138),POINT (143.8740997314453 -9.145500183105469),28.605367988871503
12,-26.686321,153.113416,QLD,2,Gold,POINT (153.113416 -26.686321),POINT (143.87669372558594 -9.145400047302246),19.824251467418588
13,-37.727566,145.818512,VIC,2,Gold,POINT (145.818512 -37.727566),POINT (143.87669372558594 -9.145400047302246),28.648051744549807
14,-33.763976,150.780073,NSW,1,Silver,POINT (150.780073 -33.763976),POINT (143.87669372558594 -9.145400047302246),25.568162377166598
15,-32.196739,152.454216,NSW,1,Silver,POINT (152.454216 -32.196739),POINT (143.87669372558594 -9.145400047302246),24.595489746704175
16,-38.049195,144.194625,VIC,1,Silver,POINT (144.194625 -38.049195),POINT (143.8740997314453 -9.145500183105469),28.9054719822382
17,-37.739901,144.964524,VIC,1,Silver,POINT (144.964524 -37.739901),POINT (143.8740997314453 -9.145500183105469),28.61518448591013
18,-33.881009,151.084759,NSW,3,Bronze,POINT (151.084759 -33.881009),POINT (143.87669372558594 -9.145400047302246),25.764443624130426
19,-34.114626,151.027919,NSW,3,Bronze,POINT (151.027919 -34.114626),POINT (143.87669372558594 -9.145400047302246),25.973106622086885
20,-31.439614,152.87253,NSW,1,Silver,POINT (152.87253 -31.439614),POINT (143.87669372558594 -9.145400047302246),24.040737219243656
21,-35.07459,147.376202,NSW,1,Silver,POINT (147.376202 -35.07459),POINT (143.87669372558594 -9.145400047302246),26.164278124300978
24,-33.731651,150.955942,NSW,2,Gold,POINT (150.955942 -33.731651),POINT (143.87669372558594 -9.145400047302246),25.58514201719087
25,-26.706834,150.545144,QLD,2,Gold,POINT (150.545144 -26.706834),POINT (143.87669372558594 -9.145400047302246),18.78489264109056
26,-21.33763,149.059737,QLD,3,Bronze,POINT (149.059737 -21.33763),POINT (143.87669372558594 -9.145400047302246),13.24818511358855
27,-38.13028025,144.2894883,VIC,3,Bronze,POINT (144.2894883 -38.13028025),POINT (143.8740997314453 -9.145500183105469),28.987756435935715
28,-16.993753,145.729193,QLD,1,Silver,POINT (145.729193 -16.993753),POINT (143.87669372558594 -9.145400047302246),8.064018702348367
29,-27.633988,153.050793,QLD,2,Gold,POINT (153.050793 -27.633988),POINT (143.87669372558594 -9.145400047302246),20.639573202502156
30,-34.35558,150.709623,NSW,1,Silver,POINT (150.709623 -34.35558),POINT (143.87669372558594 -9.145400047302246),26.119764465181316
31,-33.881009,151.084759,NSW,1,Silver,POINT (151.084759 -33.881009),POINT (143.87669372558594 -9.145400047302246),25.764443624130426
32,-33.466271,150.88744,NSW,3,Bronze,POINT (150.88744 -33.466271),POINT (143.87669372558594 -9.145400047302246),25.311170008950356
33,-33.928392,150.921448,NSW,2,Gold,POINT (150.921448 -33.928392),POINT (143.87669372558594 -9.145400047302246),25.764806479272394
35,-27.629474,153.142035,QLD,1,Silver,POINT (153.142035 -27.629474),POINT (143.87669372558594 -9.145400047302246),20.676255435164276
36,-34.762116,150.678303,NSW,3,Bronze,POINT (150.678303 -34.762116),POINT (143.87669372558594 -9.145400047302246),26.504302007843837
