customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,property_valuation,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,customer_age,product_age,profit,recency,frequency,cluster
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-12-23,False,True,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-10-26 21:45:29.044122,64,18.0,110.56,9,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-04-06,True,True,Solex,Standard,medium,medium,1577.53,826.51,2002-09-04 21:45:29.044122,64,15.0,751.02,270,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-05-11,True,True,Trek Bicycles,Road,low,small,1720.7,1531.42,1998-01-05 21:45:29.044122,64,19.0,189.27999999999997,235,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-01-05,False,True,Norco Bicycles,Standard,medium,medium,360.4,270.3,1998-02-24 21:45:29.044122,64,19.0,90.09999999999997,361,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-02-21,False,True,Solex,Standard,medium,medium,71.49,53.62,2000-01-25 21:45:29.044122,64,17.0,17.869999999999997,314,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-05-19,False,True,Giant Bicycles,Road,medium,medium,1538.99,829.65,1986-04-27 21:45:29.044122,64,31.0,709.34,227,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-03-27,False,True,Norco Bicycles,Mountain,low,small,688.63,612.88,1986-01-20 21:45:29.044122,64,31.0,75.75,280,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-12-14,True,True,Giant Bicycles,Standard,medium,medium,230.91,173.18,1996-09-06 21:45:29.044122,64,21.0,57.72999999999999,18,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-06-04,True,True,Giant Bicycles,Standard,medium,medium,642.7,211.37,2005-08-31 21:45:29.044122,64,12.0,431.33000000000004,211,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-12-09,True,True,OHM Cycles,Road,medium,medium,742.54,667.4,1998-01-20 21:45:29.044122,64,19.0,75.13999999999999,23,11,1
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-03-29,True,True,Giant Bicycles,Standard,high,medium,1274.93,764.96,1991-04-27 21:45:29.044122,64,26.0,509.97,278,11,1
2,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,True,16,2153,NSW,10,2017-05-04,True,True,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2006-02-13 21:45:29.044122,37,11.0,448.67999999999995,242,3,3
2,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,True,16,2153,NSW,10,2017-06-11,False,True,WeareA2B,Standard,medium,medium,752.64,205.36,1999-01-23 21:45:29.044122,37,18.0,547.28,204,3,3
2,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,True,16,2153,NSW,10,2017-08-24,False,True,WeareA2B,Standard,medium,medium,1992.93,762.63,1996-09-06 21:45:29.044122,37,21.0,1230.3000000000002,130,3,3
9,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,True,8,2023,NSW,12,2017-05-10,False,True,Solex,Standard,medium,large,1061.56,733.58,2009-12-02 21:45:29.044122,44,8.0,327.9799999999999,236,6,2
9,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,True,8,2023,NSW,12,2017-03-06,False,True,WeareA2B,Standard,medium,medium,752.64,205.36,1994-01-10 21:45:29.044122,44,23.0,547.28,301,6,2
9,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,True,8,2023,NSW,12,2017-10-13,False,True,Solex,Standard,low,medium,945.04,507.58,2004-11-22 21:45:29.044122,44,13.0,437.46,80,6,2
9,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,True,8,2023,NSW,12,2017-02-04,False,True,Giant Bicycles,Road,medium,medium,792.9,594.68,2009-03-27 21:45:29.044122,44,8.0,198.22000000000003,331,6,2
9,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,True,8,2023,NSW,12,2017-08-20,False,True,OHM Cycles,Standard,high,medium,227.88,136.73,2008-08-18 21:45:29.044122,44,9.0,91.15,134,6,2
9,F,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,True,8,2023,NSW,12,2017-09-30,True,True,Solex,Standard,medium,medium,1577.53,826.51,2004-11-22 21:45:29.044122,44,13.0,751.02,93,6,2
12,M,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,False,8,4557,QLD,4,2017-08-21,False,True,Giant Bicycles,Standard,medium,large,1812.75,582.48,2004-11-22 21:45:29.044122,23,13.0,1230.27,133,7,1
12,M,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,False,8,4557,QLD,4,2017-09-04,True,True,Norco Bicycles,Standard,medium,medium,360.4,270.3,2011-05-24 21:45:29.044122,23,6.0,90.09999999999997,119,7,1
